HISTORIC DATA TABLE ($USD unless otherwise noted),,,,,,,,,,,,,,,
updated 21DEC24  |  Please e-mail corrections and additions to this address:  sportdeath @  comcast . net  (remove the spaces around the @ and .),,,,,,,,,,,,,,,
LETTER KEY for REFERENCE NUMBERS (###.### + letter):  D=Deutsch (German) dial;  E=English dial;  F=Single-folding deployant buckle;  G=Double-folding deployant buckle; X=variation of a standard model,,,,,,,,,,,,,,,
"PLEASE LOOK FOR THIS STOLEN LANGE WATCH, CLICK HERE: # 39/100 (caseback # 117439, movement # 7439)",,,,,,,,,,,,,,,
REF. NO. (SORTED BY FAMILY/ MODEL),FAMILY / MODEL (ALPHABETICALLY SORTED),CASE METAL,DIAL,HANDS,STRAP,LUG & BUCKLE WIDTHS (mm),CASE SIZE diam/height (mm),MOVEMENT CALIBRE,LTD. ED.?,NOTES,FIRST YEAR MADE,LATEST YEAR REPORTED MADE,FIRST YEAR PRICE,LATEST PRICE (RED IS CURRENT),REF. NO. (SORTED BY FAMILY/ MODEL)
835.030,Little Saxonia,WG w/brilliants,silver,WG,croc (white),18/16,34.0/8.0,L941.2,no,,2011,2013,"$32,500","$34,300",835.030
835.032,Little Saxonia,RG w/diamonds,"MOP, white",RG,crocodile,18/16,34.0/8.0,L941.2,no,,2010,2011,"$32,400","$32,400",835.032
835.037,Little Saxonia,RG w/brilliants,silver,RG,croc (white),18/16,34.0/8.0,L941.2,no,,2011,2013,"$31,200","$33,100",835.037
840.021,Saxonia Automatik,YG w/68 brilliants,"MOP, white",YG,croc (white),19/16,37.0/8.8,L086.4,no,,2012,2015,"$43,100","$44,700",840.021
840.029,Saxonia Automatik,WG w/68 brilliants,"MOP, white",WG,croc (white),19/16,37.0/8.8,L086.4,no,,2012,2017,"$44,300","$44,700",840.029
840.032,Saxonia Automatik,RG w/68 brilliants,"MOP, white",RG,croc (white),19/16,37.0/8.8,L086.4,no,,2012,2017,"$43,100","$44,700",840.032
842.026,Saxonia Automatik,WG w/76 brilliants,silver,WG,croc (black),19/16,37.0/8.8,L086.1,no,,2013,2017,"$45,500","$45,900",842.026
842.032,Saxonia Automatik,RG w/76 brilliants,silver,RG,croc (red/brn),19/16,37.0/8.8,L086.1,no,,2013,2017,"$44,300","$45,900",842.032
878.029,Saxonia Jewelled,WG w/diamonds,"MOP, white",WG,croc (white),18/16,35.0/7.9,L941.2,no,,2014,2017,"$35,200","$35,200",878.029
878.038,Saxonia Jewelled,WG w/diamonds,"MOP, brown",WG,croc (brown),18/16,35.0/7.9,L941.2,no,,2014,2017,"$35,200","$35,200",878.038
701.001,"Tourbillon ""Pour le Mérite""",YG,"silver, printed markers",blue steel,croc (brown),20/16,38.5/10.0,L902.0,103/ 150,"Most YG cases numbered 110251-110350 and correspond to 110250 + the LE # (#X/150).Walter Lange wore LE #1/150, caseback #110251, movement #251 (others didn't have matching movement numbers). First US price was $92,000 in 1995.",1994,1998,"DM 125,000","$92,000",701.001
701.002,"Tourbillon ""Pour le Mérite""",YG,"silver, printed markers",blue steel,croc (not brown),20/16,38.5/10.0,L902.0,1/150,Identical to 701.001 except for strap color. Probably only 1 watch had this reference number.,1994,1998,"$91,700","$95,400",701.002
701.005,"Tourbillon ""Pour le Mérite""",PT,"silver, printed markers",blue steel,croc (black),20/16,38.5/10.0,L902.0,46/ 50,"Most PT cases numbered 110401-110450 and correspond to 110400 + the LE # (#X/50). Günter Blümlein wore LE #1/50, caseback #110401. One piece (LE #22/150, caseback #110422, movement #277) had pink dial. First US price was $103,000 in 1995.",1994,1998,"DM 140,000","$103,000",701.005
701.006,"Tourbillon ""Pour le Mérite""",SS,"silver, printed markers",blue steel,croc (black),20/16,38.5/10.0,L902.0,1/150,"LE #149/150, case #110399, movement #286.",1996,1996,???,???,701.006
701.007,"Tourbillon ""Pour le Mérite""",WG,"blue, printed markers",WG,croc (blue),20/16,38.5/10.0,L902.0,18/ 150,Most WG cases numbered 110376-110400 (except for the steel piece #110399) and correspond to 110250 + the LE # (#X/150). An independent manufacturer eviscerated one piece in 2014 to use its movement for one of their watches.,1994,1998,"$92,100","$95,400",701.007
701.008,"Tourbillon ""Pour le Mérite""",WG,"black, rhomboid-shaped markers",WG,croc (black),20/16,38.5/10.0,L902.0,1/150,"LE #101/150, caseback #110351, movement #438.",1994,1994,"$91,700","$91,700",701.008
701.011,"Tourbillon ""Pour le Mérite""",RG,"black, rhomboid-shaped markers",RG,croc (black),20/16,38.5/10.0,L902.0,23/ 150,Most RG cases numbered 110351-110375 and correspond to 110250 + the LE # (#X/150). One piece had blue steel hands.,1994,1998,"$92,100","$95,400",701.011
711.011,"Tourbillon ""Pour le Mérite""",RG,"black, rhomboid-shaped markers",RG,croc (black),19/16,36.0/10.0,L902.0,1/150,"LE #89/150, case #110339. Note small case size.",1994,1994,"$92,100","$92,100",711.011
701.021X,"Tourbillon ""Pour le Mérite""",YG,"blue, white printed markers",YG,croc (blue),20/16,38.5/10.0,L902.0,1/150,"LE #103/150, case #110353, movement #255. Originally sold as ref. no. 701.001 in 1999 by Hamburg retailer Becker. Per owner's request, in 1999, Lange changed dial, hands, strap and assigned new ref. no.",1999,1999,N/A,N/A,701.021X
711.035,"Tourbillon ""Pour le Mérite""",PT,"black, rhomboid-shaped markers",WG,croc (black),19/16,36.5/10.0,L902.0,1/50,"LE #45/50, case #110445, movement #353. Orignally made for German businessman. Note small case size.",1996,1996,???,???,711.035
751.001,"Tourbillon ""Pour le Mérite""",YG,"silver, printed markers",blue steel,bracelet,20/16,38.5/10.0,L902.0,1/150,"First US price was $102,000 in 1995.",1995,1998,"DM 139,000","$102,200",751.001
751.005,"Tourbillon ""Pour le Mérite""",PT,"silver, printed markers",blue steel,bracelet,20/16,38.5/10.0,L902.0,3/50,,1995,1999,inquiry,inquiry,751.005
702.025,"Tourbograph ""Pour le Mérite""",PT,silver,blue steel + gold-plated steel,croc (black),20/18,41.2/14.3,L903.0,51,Sold w/deployant buckle. Cases numbered 150001-150051.,2006,2009,"$460,000","$460,000",702.025
706.025F,"Tourbograph Perpetual ""Pour le Mérite""",PT,silver,WG + blue steel + gold-plated steel,croc (black),22/18,43.0/16.6,L133.1,50,Sold with (quick-release?) deployant buckle.,2017,2021,"€480,000","€490,000",706.025F
706.050FE,"Tourbograph Perpetual ""Pour le Mérite"" ""F.A. Lange Homage 175th Anniversary""",HG,black-rhodiumed honey gold,HG + YG-plated steel + blue steel,croc (dark brown),22/18,43.0/16.6,L133.1,50,Sold with quick-release deployant buckle and 3.5x loupe.,2020,2022,"€500,000","€500,000",706.050FE
712.050,"Tourbograph ""Pour le Mérite"" ""F.A. Lange Homage 165th Anniversary""",HG,"solid gold, argenté, guillloched",blue steel + gold-plated steel,croc (reddish),20/18,41.2/14.3,L903.0,50,Cases probably numbered 150102-150151 (#1/50). 21 of these (not necessarily #1-21) were sold to dealers in 3-piece sets with 722.050 and 212.050.,2010,2012,on request,"$508,900",712.050
882.025,"Tourbograph ""Pour le Mérite""",PT w/diamonds,silver,blue steel + gold-plated steel,diamond bracelet,20/18,41.2/14.3,L903.0,N/A,"Piece unique for retailer Dubail. 201 baguette diamonds, 13.72 ct, Top Wesselton VVS (ges. 13.9 ct).",2009,2010,"€1,200,000","€1,200,000",882.025
424.037F,Triple Split,RG,blue,RG + steel,croc (dark blue w/grey stitching),22/18,43.2/15.6,L132.1,100,Sold w/quick-release deployant buckle.,2021,2022,"$164,400","$174,600",424.037F
424.038F,Triple Split,WG,grey,WG + steel + blue steel,croc (blue-grey),22/18,43.2/15.6,L132.1,100,Sold w/quick-release deployant buckle.,2018,2023,"$146,300","$174,600",424.038F
140.021,Zeitwerk,YG,champagne,YG,croc (brown),20/18,41.9/12.6,L043.1,no,,2009,2013,"$54,500","$65,900",140.021
140.025,Zeitwerk,PT,rhodium,WG,croc (black),20/18,41.9/12.6,L043.1,200,,2009,2014,"$75,900","$83,200",140.025
140.029,Zeitwerk,WG,black,WG,croc (black),20/18,41.9/12.6,L043.1,no,,2009,2022,"$54,500","$89,200",140.029
140.032,Zeitwerk,RG,silver,RG,croc (reddish),20/18,41.9/12.6,L043.1,no,,2009,2022,"$54,500","$89,200",140.032
140.035,"Zeitwerk ""Luminous/Phantom/Lumen""",PT,semi-transparent/black,WG,croc (black),20/18,41.9/12.6,L043.3,100,,2010,2013,"$91,200","$96,200",140.035
140.048,"Zeitwerk ""Handwerkskunst""",PT,WG w/engraved tremblage,WG,croc (black),20/18,41.9/12.6,L043.4,30,"Cases numbered 206301-206330. Some movement plates mistakenly engraved with ""78"" (vs. 68) rubies.",2012,2013,"€95,000","€95,000",140.048
140.049F,"Zeitwerk ""Duncan Wang / Kidz Horizon""",WG,grey,WG,croc (black),20/18,41.9/12.6,L043.1,1,"Piece unique for charity auction (August 27, 2011). Case #191575, movement #86879, ""1/1 SGP 2011"" engraved on caseback. With deployant buckle.",2011,2011,"SGD 138,000","SGD 138,000",140.049F
142.025,Zeitwerk,PT,rhodium,WG,croc (dark brown),20/18,41.9/12.2,L043.6,no,,2022,2024,"$112,000","$121,100",142.025
142.031,Zeitwerk,RG,black,RG,croc (black),20/18,41.9/12.2,L043.6,no,,2022,2024,"$101,500","$104,600",142.031
142.055,Zeitwerk HG Lumen,HG,semi-transparent/black,HG,croc (dark brown),21/18,41.9/12.6,L043.9,200,Sold only in Lange boutiques.,2021,2024,"$145,000","$164,300",142.055
143.050,Zeitwerk Decimal Strike,HG,silver,HG,croc (dark brown),21/18,44.2/13.1,L043.7,100,,2017,2021,"$125,600","$148,000",143.050
145.025,Zeitwerk Striking Time,PT,rhodium,WG,croc (black),21/18,44.2/13.1,L043.2,100,,2011,2013,"$111,400","$117,500",145.025
145.029,Zeitwerk Striking Time,WG,black,WG,croc (black),21/18,44.2/13.1,L043.2,no,,2011,2022,"$90,800","$141,300",145.029
145.032,Zeitwerk Striking Time,RG,silver,RG,croc (red-brown),21/18,44.2/13.1,L043.2,no,,2014,2022,"$117,500","$141,300",145.032
147.025F,Zeitwerk Minute Repeater,PT,rhodium,WG,croc (black),21/18,44.2/14.1,L043.5,no,Sold w/deployant buckle.,2015,2022,"$467,700","€449,000",147.025F
147.028F,Zeitwerk Minute Repeater,WG,deep blue,WG,croc (blue),21/18,44.2/14.1,L043.5,30,Sold w/deployant buckle.,2020,2022,"€449,000","€449,000",147.028F
147.050F,Zeitwerk Minute Repeater,HG,grey,HG,croc (brown),21/18,44.2/14.1,L043.5,30,Sold w/deployant buckle.,2023,2024,"€500,000","€500,000",147.050F
148.038,Zeitwerk Date,WG,grey,WG,croc (dark brown),21/18,44.2/12.3,L043.8,no,,2019,2024,"$96,700","$132,000",148.038
